date,0,1,2,3,4,5,6,7,8,9
2017/5/31,1056584.895,1064517.804,1060416.775,1062001.958,1053617.332,1053109.304,1067441.36,1051397.353,1057375.035,1056780.008
2017/6/1,1064275.252,1072180.971,1068711.184,1071173.496,1061338.604,1059886.749,1075003.841,1060089.298,1066116.398,1064940.049
2017/6/2,1065345.859,1073633.389,1068970.472,1071476.477,1062327.096,1060561.328,1074072.427,1060000.958,1066035.274,1065051.682
2017/6/5,1063469.864,1073311.945,1067945.047,1070319.073,1060943.002,1059145.346,1071920.656,1058583.608,1064546.383,1064332.274
2017/6/6,1063010.264,1073223.229,1067844.46,1070207.529,1061121.232,1058826.984,1073025.107,1059225.4,1063999.85,1064116.95
2017/6/7,1066975.237,1076127.592,1071303.693,1074012.299,1064731.181,1062575.477,1076652.002,1063180.756,1066715.775,1068090.572
2017/6/8,1064428.321,1076638.396,1069704.276,1071613.312,1063076.932,1060365.436,1075622.497,1061770.565,1064823.231,1065962.458
2017/6/9,1062967.516,1072759.879,1069098.902,1070838.081,1060134.979,1058618.248,1073352.242,1059604.845,1062648.244,1064301.06
2017/6/12,1059348.932,1067667.557,1065590.99,1065965.155,1053816.704,1052801.875,1068687.221,1055763.944,1056855.874,1060178.736
2017/6/13,1062350.014,1070520.959,1068393.382,1068763.017,1057043.947,1055945.02,1071867.949,1058880.543,1060944.757,1062962.27
2017/6/14,1064571.938,1072356.602,1069113.622,1069719.526,1057756.536,1057650.741,1073006.613,1060067.648,1061737.064,1064513.664
2017/6/15,1064807.202,1073803.016,1070388.271,1069534.88,1059510.183,1057178.226,1072896.839,1060050.352,1061332.882,1065966.075
2017/6/16,1071830.041,1081491.859,1077579.383,1077100.72,1064900.445,1063663.626,1080848.608,1068179.767,1067328.141,1073261.083
2017/6/19,1080547.048,1088905.941,1085863.01,1084870.946,1073077.737,1071455.224,1089191.072,1075436.301,1074365.958,1080934.407
2017/6/20,1074085.329,1083580.049,1079988.454,1078761.986,1066989.798,1066139.507,1083781.637,1069081.526,1068309.068,1074331.551
2017/6/21,1073872.995,1084055.028,1079432.753,1077404.944,1065193.043,1065211.668,1083500.101,1066269.057,1067180.23,1074443.2
2017/6/22,1076278.886,1085304.31,1080231.587,1079988.029,1065805.59,1067735.886,1084679.919,1068854.63,1069838.49,1076905.117
2017/6/23,1080643.216,1089280.336,1083104.174,1083899.237,1068822.232,1070850.719,1088973.956,1073123.33,1073371.084,1077896.741
2017/6/26,1085062.788,1094533.874,1088236.286,1089049.295,1074112.601,1075632.236,1093887.506,1077307.062,1077208.156,1083645.655
2017/6/27,1080054.197,1090136.443,1083704.448,1084505.478,1069696.04,1071846.647,1090020.562,1074438.754,1073315.617,1079895.789
2017/6/28,1087870.508,1097503.29,1091235.299,1092323.113,1077712.962,1079317.642,1097474.274,1081990.961,1080948.362,1088037.46
2017/6/29,1079056.694,1088988.767,1084871.168,1086398.466,1071791.558,1071031.943,1093908.691,1075210.725,1074520.575,1080191.645
2017/6/30,1079253.343,1088892.812,1085029.176,1088131.997,1071430.177,1071175.978,1093730.04,1074892.041,1074605.484,1080342.865
2017/7/3,1079407.292,1089801.652,1086979.888,1089621.21,1073289.554,1071997.019,1098131.987,1075275.192,1076299.537,1082430.647
2017/7/5,1076121.79,1088747.736,1083905.24,1085951.995,1072693.796,1070606.429,1096334.232,1072301.839,1074358.887,1081122.287
2017/7/6,1066823.672,1079965.432,1075566.21,1077756.466,1063852.807,1061835.837,1087693.591,1063966.836,1065683.427,1072334.976
2017/7/7,1077251.962,1091279.298,1086708.019,1088484.799,1074239.083,1072551.968,1099101.609,1074785.519,1076746.919,1083266.826
2017/7/10,1080096.403,1091941.163,1089265.972,1090067.703,1075291.105,1074850.339,1102155.041,1078244.092,1079023.718,1083798.314
2017/7/11,1080183.721,1092389.958,1089430.965,1091649.751,1075239.994,1074922.594,1102018.756,1079070.044,1080052.584,1084451.916
2017/7/12,1086507.488,1098931.241,1095769.637,1096918.061,1081090.571,1079738.82,1107282.714,1085248.748,1085119.38,1090945.009
2017/7/13,1089573.025,1101985.357,1098851.837,1100063.132,1084595.789,1082392.719,1110613.304,1088893.968,1088536.325,1095193.879
2017/7/14,1092781.601,1102619.269,1102567.16,1101866.657,1085867.295,1084338.647,1111239.39,1089453.815,1091088.463,1097511.251
2017/7/17,1091850.413,1101150.408,1100909.371,1100208.543,1083990.667,1083598.157,1110566.183,1089180.819,1089597.111,1097146.832
2017/7/18,1089666.213,1099253.63,1097815.554,1097174.087,1081384.495,1080711.89,1107540.442,1086199.508,1087322.641,1093810.02
2017/7/19,1092051.884,1100311.573,1099768.262,1098815.038,1083409.128,1082515.579,1109872.068,1087344.114,1089348.07,1096044.349
2017/7/20,1089961.516,1097369.899,1097137.505,1095995.276,1081910.788,1080921.668,1107837.408,1085003.704,1087411.312,1094109.34
2017/7/21,1094625.438,1101836.962,1101176.864,1101423.229,1086782.255,1083058.598,1113280.381,1087602.226,1093395.572,1099197.527
2017/7/24,1093652.757,1100779.486,1102729.931,1101442.073,1087834.652,1082223.964,1113880.405,1088350.62,1092427.625,1098577.876
2017/7/25,1090673.23,1098911.296,1100652.394,1098038.208,1084834.175,1079062.654,1111669.345,1085681.496,1090716.356,1096625.582
2017/7/26,1092498.255,1100169.314,1104569.382,1098401.929,1085148.064,1080115.889,1112755.696,1087548.979,1092463.526,1097589.439
2017/7/27,1084996.901,1091957.712,1097714.578,1092728.825,1075548.783,1066152.294,1106777.888,1081769.063,1085226.238,1085429.034
2017/7/28,1082307.739,1089275.384,1095554.145,1090075.742,1072937.412,1063352.056,1103869.167,1080408.659,1083506.932,1082654.085
2017/7/31,1082823.783,1091650.062,1095248.757,1090111.747,1075153.564,1065475.471,1105853.143,1080856.727,1083906.676,1083175.366
2017/8/1,1092927.999,1103670.48,1103052.487,1103250.183,1086823.311,1077814.835,1118624.219,1093339.128,1093083.412,1095507.864
2017/8/2,1091742.587,1102406.685,1101926.411,1102142.462,1084519.69,1076580.647,1118800.799,1093473.418,1089316.062,1094322.305
2017/8/3,1089574.259,1097880.624,1097606.016,1098677.023,1082072.38,1073287.434,1115373.287,1090350.371,1085983.892,1092300.798
2017/8/4,1094176.062,1101367.727,1101214.783,1102165.061,1085804.791,1076902.86,1119021.448,1093888.656,1089465.207,1095966.991
